ID;NAME;Kartenart;Quellkonto KontoID;Quellkonto;Quellkonto Beschreibung;Quellkonto BUB;Quellkonto LIB;Zielkonto KontoID;Zielkonto;Zielkonto Beschreibung;Zielkonto BUB;Zielkonto LIB;Verschiedene Lager;handler
206;Sonst. Warenvereinnahmung untypisiert;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
207;WE-Storno;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
208;Inventurdiff. pos. in reserv.Bestand ;;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;17;Reserviert Stationär;"Reserviert fuer Entnahme im Kommissionierlager (Stationaer); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";Y;N;N;
209;Inventurdiff. neg. in reserv.Bestand ;;17;Reserviert Stationär;"Reserviert fuer Entnahme im Kommissionierlager (Stationaer); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
210;Umbuchung zw. Laegern QS-ungeprueft;;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;Y;
211;TLIB-Korrektur/Reduktion;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
212;Auslagerung in Transit Ziellager;305;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;Y;
212;Auslagerung in Transit Ziellager;339;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;Y;
213;Storno Auslagerung in Transit Ziellager;315;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;Y;
213;Storno Auslagerung in Transit Ziellager;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;Y;
214;Warenzugang aus Transitbestand;336;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;46
215;Storno Warenzugang aus Transitbestand;346;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
216;Reserv. für Entn. Präv. Nachschub;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
217;alt:QS-Warenzugang aus Transportbest.zug;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
218;TLIB-Korrektur (Erhoehung);339;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
219;TLIB-Korrektur (Erhoehung);339;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;Y;
220;RLIB-Korrektur (Reduktion);340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
221;RLIB-Korrektur (Reduktion);340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
222;Reserv. aus Komm. fuer BAUR-Kaufhaus;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
223;Auslagerung fuer Nachschub BAUR-Kaufhaus;-1;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;N;
224;Storno Auslager. Nachschub BAUR-Kaufhaus;-1;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
225;Nachreservierfehler fuer BAUR-Kaufhaus;-1;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
226;Ausbuch. wegen Umzeichn. in Retourenst.;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
227;Einbuch. wegen Umzeichn. in Retourenst.;;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;N;
228;RLIB-Korrektur (Erhoehung);330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
229;RLIB-Korrektur (Erhoehung);330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
230;Storno WE2;;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;25;QS ungeprüft / WE1;Wareneingänge nach Vereinnahmung per WE1 und vor Freischaltung per WE2 im Zustand QS-ungeprüft bzw. wartend auf Zollfreigabe;N;N;N;
231;TLIB-Korrektur (Reduktion);349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
232;Bestandsdiff fehlender Kommiss;330;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;N;
233;Berichtigung Rechnung;305;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
234;Warenabgang freier Bestand ASTA;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
235;BUB-Korrektur/Angleichung ASTA -;315;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;20;ALT: ALT: Angleichun;"Angleichung BUB an ASTA08 (Master). enthaelt Retoureneingaenge; Inventur  und sonstige Bewegungen ausser WE und Verkauf";N;N;N;
236;Schwund bei StationaerAuslagerung;;39;Sport Scheck intern.;Reservierter Bestand für SportScheck-International-Aktivitäten im Rahmen der logischen Bestandstrennung. Nur für Lager 23/25. Nur zur Bebuchung durch die Retail-Schicht. Teil des Buchbestands.;Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
237;Warenzugang aus Transitbestand;336;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
238;Warenabgang in Transitbestand;346;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
239;Stornierung einer Gutschrift;315;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;
240;Manuelle Rechnung;315;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;
241;Retourendirektversand;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;8;WA Kunde;Warenausgang (WA) Kunde. Verkauf an Kunde Versand und Stationär.;N;N;N;
242;alt:Sonst. Warenvereinnahmung untypis.;-1;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
243;alt:Storno sonst.Warenvereinn. untypis.;-1;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
244;Einlagerung Muster in QS-Sperre;305;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
245;Einlagerung aus Ruecknahme Drittgesch.;305;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
246;Einlagerung aus Konzern-Laufkette;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
247;Storno Rueckg. an Lief. aus Überhang;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
248;Rueckbuchung Interner Warenabzug IWR;305;42;Int.warenabzug IWA;Umsatz Interner Warenabzug und Warenruecklauf;N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
249;Storno Kanalbuchung;305;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
250;Einbuchung nach Umzeichnung;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
251;free to transport graz;346;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;Y;46
252;Bestandsberichtigung positiv;305;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
253;Entlastung Ret.Bestand Pilsen;-1;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
254;Auslagerung und W-Ausgang Stationaer;339;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
254;Auslagerung und W-Ausgang Stationaer;305;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;N;
255;Schwund bei Auslagerung Stat. m. Etik.;;40;Aufbereitung Stionär;Aufbereitungsbestand Stationaer (Veredelung der Ware fuer Einsatz in Filialen z.B. durch BFS);Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
256;Schwund bei Auslagerung Stat. o. Etik.;;40;Aufbereitung Stionär;Aufbereitungsbestand Stationaer (Veredelung der Ware fuer Einsatz in Filialen z.B. durch BFS);Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
257;Storno KABA Grund Lagerfach;336;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;Y;
258;Storno KABA Grund Bestand;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;Y;
258;Storno KABA Grund Bestand;315;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;Y;
259;"alt:QS-Korrektur NBV(+);id_neu=99";-1;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
260;"alt:QS-Korrektur NBV(-);id_neu=117";-1;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;N;
261;alt:QS-Korrektur(+) NBV gegen Inventur;305;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;N;
262;alt:QS-Korrektur(-) NBV gegen Inventur;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;10;Inventurdifferenz;Aus dem Buchbestand ausgebuchte Inventurdiffenz (Umsatz);N;N;N;
263;Abgabe lagerfähige Retoure an Lager;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;;
264;Reservg. aus Komm. fuer Amazon;315;34;Beauftragter Best.;Zur Auslagerung beauftragter Bestand im Zentrallager Stationär/Filiale SAS/Caruso;Y;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;N;
265;Storno Einlagerung Retoure Komm.lager;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;Y;
266;Bestandsdifferenzen gesperrter Bestand;-1;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;Y;
267;DIFF BUB an BUB wirks. Bestandskorrektur;;91;ALT: ALT: DIFF BUB;" Initialzugang Differenz BUB-Umsatz (fällt
noch weg)";N;N;93;BUB-wirks. BestKorr;"BUB-wirksame Bestandskorrekturen. Konto für Korrekturen (Verwertung; IWA; Umzeichnung; Inventurdifferenz; ASTA-Abgleich bei Notfallbetrieb etc.)";N;N;Y;
268;Fakt. Bestand Reserverlagerbestand (HH);;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;43;ALT: ALT: Reservelag;Reserverlagerbestand (nur Hamburg);N;N;Y;
269;Initialzugang Wareneingang(WE) Lieferant;;90;Initialzugang; Initialzugang Umsatz;N;N;6;WE Lieferant;Wareneingang vom Lieferanten (Umsatz);N;N;N;
270;Fehlbestandskorr. zw. Lägern;;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;Y;
271;Umbuchung in andere Retourenstelle;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;Y;
272;Retourenstelle -> Totalschaden;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;22;Totalschaden;"Umsatz ausgebucht per Kanalbuchung: Genutzt in Altsystemen fuer alle Kanalbuchungen gemeinsam; neu nur fuer den Kanal Totalschaden";N;N;N;
273;Retourenstelle -> Ruecksendestelle;;9;Retoureneingang;"Retourenbestand im Lager; eingegangen; aber noch nicht geprueft und damit kein verfuegbarer Bestand";Y;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;N;
274;Transportbestand -> Ruecksendestelle;;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;N;
275;Ruecksendestelle->Lieferant;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;7;Rueckgabe Lieferant;Umsatz Rueckgabe von Ware an Lieferant;N;N;N;
276;Ruecksendestelle -> Drittverkauf;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;33;Drittverk. /Verwert.;"Drittverkauf / Verwertung direkt aus dem Lager bzw. Fililale
Abgang aus BUB";N;N;N;
277;"Ruecksendestelle -> Rueckgabe an
Mandant";;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;23;Rueckgabe Mandant;"Umsatz Rueckgabe von Ware an den
Mandanten";N;N;N;
278;Erhöhung fakturierfähiger Bestand;330;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;;
279;Reduzierung Retourenbestand;;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;;
280;Abgabe Retoure an Rücksendestelle;;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;;
281;Bildung Retourenmischwanne;;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;;
282;Erhöhung Retourenbestand;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;;
283;Erhöhung Retourenbestand;;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;;
284;Übergabe RS an RT;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;37;Retouren-Eingang;BUB-Zugang durch Retouren vom Kunden in Retourenstelle;N;N;;
285;Abgabe an Rücksendestelle;340;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;;
286;Abgabe an Rücksendestelle;;13;Transp.best gesperrt;"Transportbestand; der nicht zusagbar und nicht lieferbar ist";Y;N;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;;
287;Rückgabe von Rücksendestelle;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;;
288;Rückgabe von Rücksendestelle;;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;;
289;Erhöhung reservierter Bestand;310;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;;
290;Erhöhung reservierter Bestand;315;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;;
291;Reduzierung reservierter Bestand;300;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;3;Fakturierbar Bestand;Freier Lagerbestand;Y;Y;;
292;Reduzierung reservierter Bestand;305;38;Reserviert Versand;"Reserviert fuer Entnahme im Kommissionierlager (Versand); jedoch noch nicht kommissioniert (Ergebnis der Lagerfakturierung)";N;N;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;;
293;Bestandsdiff. gesperrter Best.;-1;1;gesperrter Bestand;Nicht lieferbarer / gesperrter Bestand;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;;
294;Bestandsdiff. TLIB;349;2;Transportbestand;"Transport-Bestand (Umfuhr-Bestand)
Für Filialen temporär Umfuhren aller Filialen auf ID_Warehouse=16 kumuliert";Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;;
295;Bestandsdiff. Ruecksendestelle;-1;5;Ruecksendestelle;Bestand der Ruecksendestelle für Ruecklieferungen an Lieferanten als Bestandteil des BUB;Y;N;4;Bestandsdifferenzen;Bestandsfifferenzen / Fehlbestand: Noch nicht inventurwirksam ausgebuchter erkannter Fehlbestand als Bestandteil des Buchbestandes;Y;N;;
